# CoordinateSystem: PROJCS["WGS 84 / UTM zone 39N",GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",51],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","32639"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Omega,Phi,Kappa,X_est,Y_est,Z_est,Omega_est,Phi_est,Kappa_est
DJI_0457.JPG,789299.632672,3164962.945763,1190.870000,0.000000,-0.000000,137.900000,789298.763850,3164961.243232,1239.582794,0.177751,-0.262028,138.699110
DJI_0458.JPG,789289.586761,3164951.259183,1190.870000,0.000000,0.000000,137.900000,789288.721342,3164949.514697,1239.648832,0.164165,-0.272204,138.481748
DJI_0459.JPG,789279.539354,3164939.473848,1190.870000,0.000000,0.000000,138.100000,789278.676287,3164937.832321,1239.804938,0.204083,-0.318192,138.617183
DJI_0460.JPG,789269.344829,3164927.697091,1190.970000,-0.074315,0.066913,138.000043,789268.488943,3164926.035546,1239.919120,0.170268,-0.278583,138.548823
DJI_0461.JPG,789259.678085,3164916.395977,1190.870000,-0.000000,-0.000000,137.800000,789258.429395,3164914.348543,1239.986519,0.250020,-0.310462,138.479749
DJI_0462.JPG,789249.554213,3164904.690875,1190.970000,0.000000,0.000000,137.800000,789248.358184,3164902.624276,1240.192126,0.273654,-0.292661,138.792203
DJI_0463.JPG,789239.151575,3164892.536274,1191.070000,0.000000,0.000000,137.900000,789238.154034,3164890.808187,1240.237589,0.282892,-0.257860,139.267946
DJI_0464.JPG,789228.988890,3164880.854641,1190.970000,0.000000,-0.000000,138.000000,789227.871274,3164879.191866,1239.898611,0.305524,-0.235621,139.949862
DJI_0465.JPG,789218.899324,3164869.106047,1190.870000,0.000000,-0.000000,137.800000,789217.637337,3164867.412095,1239.702978,0.327248,-0.243600,140.394970
DJI_0466.JPG,789209.129785,3164857.760292,1190.870000,-0.000000,0.000000,137.900000,789207.517783,3164855.708252,1239.764561,0.342044,-0.257436,141.215181
DJI_0513.JPG,789231.050767,3164838.148761,1191.170000,0.000000,0.000000,-42.300000,789229.504618,3164835.989695,1239.317455,-0.178698,0.245829,-36.639107
DJI_0514.JPG,789241.296403,3164849.843535,1190.770000,0.073373,-0.067944,-42.799956,789239.724271,3164847.657074,1239.171341,-0.211258,0.288880,-36.782735
DJI_0515.JPG,789251.229231,3164861.119029,1190.870000,-0.000000,-0.000000,-42.700000,789249.991821,3164859.264427,1239.329922,-0.176600,0.271235,-36.261218
DJI_0516.JPG,789261.498449,3164872.808861,1190.670000,0.074315,-0.066913,-41.999957,789260.233417,3164870.948300,1239.356289,-0.205041,0.268666,-35.316442
DJI_0517.JPG,789271.445429,3164884.500725,1191.070000,0.074198,-0.067043,-42.099957,789270.240908,3164882.730036,1239.657222,-0.247403,0.238483,-35.103709
DJI_0518.JPG,789281.419825,3164896.152231,1191.070000,0.000000,-0.000000,-42.500000,789280.160194,3164894.328690,1239.518670,-0.240459,0.231098,-35.287546
DJI_0519.JPG,789291.593897,3164907.806466,1190.770000,-0.000000,0.000000,-42.700000,789290.413307,3164906.095180,1239.432581,-0.291419,0.199818,-35.206318
DJI_0520.JPG,789301.935314,3164919.503673,1190.770000,0.074315,-0.066913,-41.999957,789300.695264,3164917.804425,1239.890635,-0.293425,0.205370,-34.214501
DJI_0521.JPG,789312.396187,3164931.873880,1190.870000,0.074431,-0.066783,-41.899957,789310.970811,3164929.923319,1240.490011,-0.327940,0.213172,-33.934743
DJI_0522.JPG,789322.320528,3164943.566349,1191.070000,0.000000,0.000000,-42.000000,789320.865147,3164941.597898,1240.500497,-0.367141,0.207080,-33.843917
DJI_0537.JPG,789339.590684,3164917.717670,1190.970000,0.000000,0.000000,137.600000,789338.314377,3164916.096904,1238.488559,0.362701,-0.169226,138.426473
DJI_0538.JPG,789329.329328,3164906.031279,1190.970000,-0.074198,0.067043,137.900043,789328.010943,3164904.267618,1238.425565,0.405696,-0.134467,138.393761
DJI_0539.JPG,789319.268571,3164894.349857,1190.970000,-0.074080,0.067172,137.800043,789317.911717,3164892.532355,1238.245918,0.497925,-0.169261,138.041649
DJI_0540.JPG,789309.263556,3164882.630998,1190.770000,-0.000000,-0.000000,137.900000,789307.717807,3164880.659317,1238.073051,0.546239,-0.191122,138.138091
DJI_0541.JPG,789299.244973,3164870.826396,1190.870000,-0.000000,0.000000,138.500000,789297.691248,3164868.889741,1238.368390,0.563609,-0.183718,138.796320
DJI_0542.JPG,789289.166444,3164859.069133,1190.970000,0.000000,-0.000000,138.500000,789287.531242,3164857.173893,1238.581200,0.534284,-0.173766,139.086532
DJI_0543.JPG,789278.995359,3164847.450479,1190.970000,0.000000,0.000000,137.800000,789277.373463,3164845.467252,1238.478312,0.465235,-0.177215,138.737609
